oneway,fclass,miles,startlon,startlat,endlon,endlat
B,residential,0.04212382161,-97.6028606004,30.0716252997,-97.6023742003,30.0720669001
B,residential,0.27944147824,-97.5664509997,30.1347999997,-97.5655303997,30.1319354998
B,residential,1.30709994941,-97.580733,30.1140319998,-97.5648050003,30.1027219998
B,residential,0.44719394512,-97.5945553002,30.1015374002,-97.5896330004,30.0967090004
B,residential,0.48889135483,-97.589528,30.0967699996,-97.589528,30.0967699996
B,residential,0.26598334135,-97.5497936003,30.0327071004,-97.5462897004,30.0350191998
B,residential,0.60532046159,-97.5661920004,30.1308530003,-97.5615028003,30.1386311998
B,residential,0.55611014876,-97.5757939998,30.0997529996,-97.5822980003,30.0940039998
B,residential,0.22410244222,-97.5486099999,30.0467030002,-97.5459100003,30.0444519999
B,residential,0.12857612737,-97.5726529997,30.0328010004,-97.5718359998,30.0345019997
B,residential,0.41542888342,-97.568817,30.1374840003,-97.5721279998,30.1321839996
B,residential,0.22215134555,-97.5676799997,30.1352370001,-97.5643713004,30.1338070996
B,residential,0.03992182467,-97.5941799996,30.1040950002,-97.5936250001,30.1044159997
B,residential,0.18453204008,-97.5706570003,30.1356939996,-97.568193,30.1341559997
B,residential,0.35309458674,-97.567647,30.1298259997,-97.5726820002,30.1324506
B,residential,0.11311520429,-97.6003970003,30.076828,-97.5998989998,30.0783849999
B,residential,0.06523379099,-97.5915230003,30.0715280002,-97.5919789997,30.0723880003
B,residential,0.13179197049,-97.5527930003,30.1369489999,-97.5520290001,30.1364090002
B,residential,1.2595385909,-97.5816659999,30.1130670002,-97.5669229999,30.1001439996
B,residential,1.34046479044,-97.6012599996,30.0961020003,-97.6169229998,30.0822469999
B,residential,0.56494841393,-97.5720329999,30.1048449997,-97.568251,30.0982230001
B,residential,0.10713310035,-97.5929143001,30.1030014003,-97.5941799996,30.1040950002
B,residential,0.16020223695,-97.6184419997,30.0558399998,-97.619189,30.0536309996
B,residential,0.77541073792,-97.6047450003,30.0771653996,-97.5956346,30.0691701999
B,residential,1.28043019298,-97.5842881001,30.1108261001,-97.5718440002,30.0962790004
B,residential,0.55961785143,-97.5968290004,30.062181,-97.5902829998,30.0563859998
B,residential,0.13645598873,-97.5989209997,30.1100489996,-97.5973920002,30.111482
B,residential,0.26060633057,-97.5609270004,30.0370330004,-97.5568539996,30.0372939998
B,residential,1.69415960921,-97.5629239998,30.0335200002,-97.5829240003,30.0474210001
B,residential,1.09498428428,-97.6135269997,30.0572750003,-97.6264530004,30.0668559997
B,residential,0.17843895659,-97.5617939999,30.0354490002,-97.5589770004,30.0350410002
B,residential,0.05559755668,-97.5536419999,30.1372759997,-97.5527930003,30.1369489999
B,residential,0.10226206029,-97.5901689999,30.0741509998,-97.5913389999,30.0730700003
B,residential,0.51552772509,-97.5589770004,30.0350410002,-97.5568933,30.0316769998
B,residential,0.51850209387,-97.5941799996,30.1040950002,-97.5989209997,30.1100489996
B,residential,0.3018111428,-97.5805610002,30.0955239997,-97.5769789996,30.0924429997
B,residential,0.35806258589,-97.5922719998,30.06889,-97.5872409998,30.0716070003
B,primary,0.78554390583,-97.6307709999,30.0519799999,-97.6184419997,30.0558399998
B,residential,0.76224673691,-97.6169229998,30.0822469999,-97.6260216001,30.0899620004
B,residential,0.07662431897,-97.5679889996,30.1301609998,-97.5672899997,30.1310919996
B,residential,0.24431802527,-97.571587,30.1330350002,-97.5679539998,30.131997
B,residential,2.77423559685,-97.5117960001,30.106138,-97.5507430002,30.1109960001
B,service,0.00561146588,-97.5500400001,30.1150479999,-97.5500299997,30.115129
B,residential,0.27762227681,-97.5497690002,30.1001350001,-97.546156,30.0978200004
B,residential,0.04243117416,-97.6044248003,30.0729921001,-97.6039381996,30.0734396999
B,residential,0.06407795463,-97.5584890004,30.0377039998,-97.558267,30.0367940001
B,residential,0.08733973731,-97.5489730004,30.1411179997,-97.5502357996,30.1417529004
B,residential,1.26422504594,-97.588142,30.0649570003,-97.6021670001,30.0782000003
B,residential,0.68000031355,-97.583969,30.1112029997,-97.5921159998,30.1180760001
B,residential,0.1712584771,-97.6494489997,30.0678660004,-97.6472505997,30.0664848999
B,residential,0.30308313654,-97.6414860003,30.061188,-97.6378039996,30.0581710003
B,residential,0.28620641288,-97.5950999998,30.0726139999,-97.5916800003,30.0754840001
B,service,0.01697007047,-97.6536639998,30.0612360004,-97.6539060002,30.0611079999
B,service,0.05546293511,-97.6535039996,30.0610639997,-97.6540749999,30.0614569998
B,service,0.0087868179,-97.6539640001,30.0615559999,-97.6538179997,30.0615440003
B,service,0.05017349508,-97.646687,30.0519860002,-97.647349,30.0515400003
B,service,0.22139520488,-97.6537360004,30.0434860003,-97.6559740002,30.0457840001
B,service,0.04111632014,-97.6441990004,30.0498010001,-97.644835,30.0495769997
