oneway,fclass,miles,startlon,startlat,endlon,endlat,LINESTRING
B,service,0.233421896117,-87.585839,33.200935,-87.585834,33.200772,"LINESTRING (-87.58583900000001 33.200935, -87.58583400000001 33.200772)"
B,service,0.0884328806155,-87.58516,33.200902,-87.585159,33.201317,"LINESTRING (-87.58516 33.200902, -87.585159 33.201317)"
B,residential,0.014801555174,-87.618507,33.314743,-87.61867,33.314572,"LINESTRING (-87.61850699999999 33.314743, -87.61866999999999 33.314572)"
B,residential,0.034898911221,-87.6116676,33.3153341,-87.6115848,33.315187,"LINESTRING (-87.6116676 33.3153341, -87.6115848 33.315187)"
B,residential,0.121101261576,-87.58289,33.322606,-87.583075,33.322497,"LINESTRING (-87.58289000000001 33.322606, -87.58307499999999 33.322497)"
B,residential,0.0891794449903,-87.6110439,33.3158183,-87.61108,33.315917,"LINESTRING (-87.6110439 33.3158183, -87.61108 33.315917)"
B,service,0.024648229136,-87.483203,33.125819,-87.482839,33.125611,"LINESTRING (-87.483203 33.125819, -87.482839 33.125611)"
B,residential,0.0163650768917,-87.481265,33.126092,-87.481298,33.126328,"LINESTRING (-87.48126499999999 33.126092, -87.481298 33.126328)"
B,service,0.11417589408,-87.483156,33.127907,-87.482992,33.127899,"LINESTRING (-87.48315599999999 33.127907, -87.482992 33.127899)"
B,service,0.0362326061504,-87.481914,33.12783,-87.481675,33.12801,"LINESTRING (-87.481914 33.12783, -87.481675 33.12801)"
B,service,0.0316790680011,-87.482739,33.126474,-87.482484,33.126328,"LINESTRING (-87.482739 33.126474, -87.482484 33.126328)"
B,residential,0.577716891758,-87.5070963,33.2492192,-87.50732,33.249235,"LINESTRING (-87.5070963 33.2492192, -87.50732000000001 33.249235)"
B,residential,0.440767669839,-87.5068663,33.2498772,-87.508269,33.249932,"LINESTRING (-87.5068663 33.2498772, -87.508269 33.249932)"
B,residential,0.10824608493,-87.510544,33.25038,-87.510747,33.250399,"LINESTRING (-87.510544 33.25038, -87.51074699999999 33.250399)"
B,service,0.0929300317544,-87.537643,33.173215,-87.537622,33.173454,"LINESTRING (-87.537643 33.173215, -87.537622 33.173454)"
B,residential,0.580960554882,-87.5093423,33.2513632,-87.5093933,33.2506792,"LINESTRING (-87.5093423 33.2513632, -87.5093933 33.2506792)"
B,residential,0.0269536264807,-87.507447,33.251267,-87.507391,33.251587,"LINESTRING (-87.507447 33.251267, -87.507391 33.251587)"
B,service,0.211192817306,-87.537579,33.174222,-87.537588,33.17427,"LINESTRING (-87.53757899999999 33.174222, -87.537588 33.17427)"
B,service,0.114999770828,-87.553244,33.23592,-87.5535002,33.2359642,"LINESTRING (-87.55324400000001 33.23592, -87.5535002 33.2359642)"
B,residential,0.0178937599187,-87.616293,33.270826,-87.616411,33.270752,"LINESTRING (-87.616293 33.270826, -87.616411 33.270752)"
B,service,0.399811854446,-87.508904,33.164121,-87.508928,33.164005,"LINESTRING (-87.508904 33.164121, -87.508928 33.164005)"
B,residential,0.0879017529918,-87.570884,33.271881,-87.570729,33.271797,"LINESTRING (-87.57088400000001 33.271881, -87.570729 33.271797)"
B,residential,0.0366719612776,-87.487364,33.164171,-87.487198,33.164111,"LINESTRING (-87.487364 33.164171, -87.48719800000001 33.164111)"
B,residential,0.0164350771182,-87.561224,33.271366,-87.561302,33.27129,"LINESTRING (-87.561224 33.271366, -87.561302 33.27129)"
B,residential,0.0574853938807,-87.489468,33.16433,-87.489623,33.164197,"LINESTRING (-87.489468 33.16433, -87.48962299999999 33.164197)"
B,residential,0.115636981266,-87.516407,33.212784,-87.516268,33.212798,"LINESTRING (-87.516407 33.212784, -87.516268 33.212798)"
B,service,0.0483155851839,-87.533065,33.175797,-87.533108,33.175717,"LINESTRING (-87.53306499999999 33.175797, -87.533108 33.175717)"
B,service,0.208912731241,-87.534058,33.175145,-87.533101,33.175106,"LINESTRING (-87.534058 33.175145, -87.533101 33.175106)"
B,service,0.184561835039,-87.5418471,33.165966,-87.5416876,33.1658355,"LINESTRING (-87.5418471 33.165966, -87.5416876 33.1658355)"
B,service,0.0899171845567,-87.539837,33.164814,-87.5399372,33.1661163,"LINESTRING (-87.53983700000001 33.164814, -87.5399372 33.1661163)"
